moneyness,tau,r,vol0,theta,kappa,gamma,rho,time value,IV
0.8475164552958083,1.003908604012704,0.0196929669710365,0.1374750647553378,0.0443339410860276,1.6499902206380097,0.30347330734493,-0.8859462554898819,-3.1114300610264283,0.2662894278876138
0.905184733761174,1.399975400394051,0.0863979129713226,0.1572200201191859,0.1136223215385916,0.0475642981198936,0.3390931755824789,-0.7463644279618414,-1.797461555749624,0.3719397557267712
1.1981340193217522,0.6689161152009,0.0395286835015467,0.2271850845213212,0.1616838951218701,0.1110432782762129,0.1193431051811884,-0.762051341500551,-2.310627184720453,0.47905041808803617
1.3094748464420052,0.2063905847614877,0.0713732617755998,0.2392536135159256,0.0157356178192811,0.6725813673572201,0.083229767977227,-0.5540029302967255,-3.907930106915982,0.48493757191067743
1.140868403022253,0.8246287731689799,0.006562448391532,0.3492498111643247,0.3783541736354526,1.0541636415176152,0.0955048125662081,-0.6929886259851851,-1.8192625581155704,0.5991793688178859
1.0772744086951185,0.8988293556241693,0.0096540511866525,0.2658540429029705,0.1299329213178183,0.1800372923567856,0.0353137642866717,-0.1432769836993076,-1.8432648158656801,0.5054258244388166
1.1043397643978756,0.9873059793412958,0.0013011881840736,0.062814438741476,0.0913343346320167,0.7828349336173064,0.3622228455668643,-0.8532623124597428,-2.7748313925494537,0.2701584294084114
0.6869433191129808,0.3384345696658963,0.0699701170340419,0.3286860550565234,0.1393414870004232,0.8516560654188059,0.3029982429883345,-0.5726690571816229,-4.192312071448964,0.5224652526010232
0.6525699964130999,0.6418957583789845,0.0886733282478446,0.4394118111292975,0.1711817823639979,0.1123422847855739,0.4561809624062266,-0.7135183196183006,-3.0819931746734284,0.5934021191171723
0.8781961578960994,0.1798005230895781,0.0660152495711699,0.3720196893862459,0.2190036423087474,1.6897214066265962,0.3303606851829047,-0.0913028410194425,-3.037186314679255,0.5899576093099768
1.030635816670672,0.86492341699231,0.046941052363607,0.0849920878240524,0.1879528838941431,1.398840561101913,0.1296691414113989,-0.2222532468572471,-2.0240725815905436,0.3554977829242034
1.331234864709567,1.3402306046609307,0.0022064518296205,0.2350377306908405,0.3290376087569035,0.3326384962450595,0.3478091898541102,-0.1875409427311887,-2.076939959500499,0.4982708438080863
1.3323493182709476,0.919850813153542,0.0439282069273379,0.3684017454889752,0.2038864274950692,0.3794447093026647,0.048522459139758,-0.4691809082214376,-1.9493119757705506,0.5884176633992411
